UNSDCODE,COUNTRY,ISOCODE,CIESINCODE,country_pop,Y1997TCC,Y1998TCC,Y1999TCC,Y2000TCC,Y2001TCC,Y2002TCC,Y2003TCC,Y2004TCC,Y2005TCC,Y2006TCC,Y2007TCC,Y2008TCC,Y2009TCC,Y2010TCC,Y2011TCC,Y2012TCC,Y2013TCC,Y2014TCC,Y2015TCC
116,Cambodia,KHM,116," 14,074,421 ","1,694,619.77","3,437,139.93","1,586,424.82","1,369,946.82","783,598.98","5,059,614.90","4,102,129.98","9,468,915.15","3,478,003.95","3,840,485.59","10,954,428.85","3,764,992.94","1,968,963.97","4,106,834.05","7,988,791.69","4,171,008.61","4,417,920.45","4,454,644.74","5,108,511.84"
120,Cameroon,CMR,120," 20,982,394 ","7,053,202.18","5,605,405.45","6,428,746.14","6,348,573.82","7,944,884.73","5,871,647.08","6,502,277.65","3,051,946.33","6,169,048.68","4,275,211.89","3,624,721.17","3,119,950.24","3,877,095.81","2,664,721.52","2,084,435.36","1,887,456.34","2,198,298.47","1,546,093.28","1,100,344.01"
124,Canada,CAN,124," 33,552,412 ","982,180.84","10,172,510.10","3,841,073.68","2,007,419.04","1,096,404.46","17,674,552.32","7,861,545.34","2,538,294.60","7,018,318.22","9,185,107.25","7,329,295.71","6,071,179.67","2,318,785.77","15,992,269.90","13,096,424.04","9,889,894.65","24,823,668.37","37,731,065.21","21,867,238.00"
132,Cape Verde,CPV,132," 491,875 ",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
136,Cayman Islands,CYM,136," 55,036 ",0.01,0.11,0.01,0.05,0.00,1.10,0.00,0.00,0.04,0.60,0.10,0.26,0.00,0.00,0.45,0.00,0.07,0.00,0.18
140,Central African Republic,CAF,140," 4,444,854 ","38,469,019.94","38,936,619.60","28,235,382.54","36,697,793.51","23,367,510.15","27,278,527.01","41,477,771.39","28,548,726.87","38,569,002.30","32,748,501.10","36,328,205.03","36,633,810.92","23,098,367.75","25,236,559.47","29,617,994.33","18,758,502.82","23,124,574.38","21,790,469.40","25,533,047.83"
144,Sri Lanka,LKA,144," 20,016,047 ","2,517.03","9,156.63","9,673.11","3,769.30","1,707.66","4,918.50","17,166.87","29,157.96","18,464.12","16,797.85","5,904.51","5,418.36","31,523.05","1,823.15","14,742.11","13,694.67","3,480.90","6,870.40","2,956.06"
148,Chad,TCD,148," 11,334,727 ","4,664,073.21","3,321,646.92","4,026,086.05","4,896,132.90","3,398,823.26","6,240,584.13","6,892,825.33","5,753,935.98","6,451,181.74","6,390,542.50","5,409,237.86","5,391,196.87","3,537,288.34","3,506,701.27","4,082,377.98","4,156,184.04","3,708,455.14","2,825,494.92","3,164,433.96"
152,Chile,CHL,152," 17,091,218 ","601,992.92","47,081.85","991,774.29","41,541.44","14,762.24","80,003.52","88,259.46","11,645.39","36,993.34","4,531.47","78,227.47","16,871.04","26,308.59","37,729.91","68,790.59","107,533.80","19,928.58","160,057.31","101,822.11"
156,China,CHN,156," 1,333,549,108 ","684,718.31","1,010,002.46","1,152,943.38","1,178,937.71","548,614.02","260,275.48","4,392,704.23","1,452,118.40","430,874.07","967,658.45","432,468.22","569,042.15","753,866.84","506,385.16","361,095.34","831,085.53","352,093.09","1,209,905.23","4,248,397.89"
158,Taiwan,TWN,158," 23,115,425 ","1,342.06",508.60,59.76,13.94,309.73,413.44,137.92,"1,807.24",216.90,320.73,198.91,253.99,299.80,183.71,260.65,299.95,246.80,662.14,415.50
170,Colombia,COL,170," 48,163,680 ","904,323.69","233,523.57","175,434.02","802,676.39","621,254.41","386,211.45","1,057,267.59","1,148,177.45","184,645.86","146,524.96","1,153,882.76","415,850.37","217,579.05","228,514.37","168,813.51","138,688.23","300,414.63","640,519.41","220,762.03"
174,Comoros,COM,174," 689,432 ",0.28,"1,625.84",0.24,0.19,42.60,2.27,95.53,430.36,179.46,34.67,339.49,275.62,48.89,113.92,125.08,240.83,248.08,80.75,73.25
175,Mayotte,MYT,175," 200,649 ",0.01,0.01,0.01,0.00,0.00,0.00,0.00,2.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.07,0.00,0.00
178,Congo,COG,178," 3,565,229 ","1,306,701.97","1,332,732.18","1,205,231.18","497,927.74","1,206,756.88","795,193.20","550,640.33","378,246.02","595,051.59","658,257.66","510,641.21","396,285.68","675,548.46","451,258.93","823,423.99","1,235,906.16","1,339,983.89","1,385,137.46","1,069,680.85"
180,Democratic Republic of the Congo,COD,180," 70,553,662 ","57,119,491.27","59,153,503.37","49,861,885.61","52,518,779.12","59,088,415.76","43,644,406.33","30,206,677.88","13,637,478.05","37,545,637.32","44,324,954.59","27,405,151.46","35,661,847.63","38,403,394.97","37,795,736.68","36,248,650.29","27,262,789.39","36,973,301.03","33,959,798.33","34,678,095.99"
184,Cook Islands,COK,184," 17,789 ",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
188,Costa Rica,CRI,188," 4,283,422 ","4,498.93","8,664.78","1,288.81","4,125.40","11,253.05","3,921.63","4,373.92","4,141.59","2,013.15","1,679.58","6,224.62","1,583.20","3,703.01","1,589.49","1,078.47","5,728.33","8,037.66","8,222.54","15,536.54"
191,Croatia,HRV,191," 4,404,328 ",602.01,"3,114.19",427.57,"108,486.79","2,496.04","1,437.75","2,579.40",561.24,"1,910.22",390.18,"7,102.94",881.90,"1,533.52",84.36,"3,149.50","6,572.35",45.07,192.57,840.25
192,Cuba,CUB,192," 11,165,731 ","21,449.60","35,397.25","51,284.09","36,872.54","9,701.75","36,360.45","13,005.27","46,636.91","50,767.78","67,398.19","31,516.97","15,016.07","55,632.58","18,069.11","67,508.33","23,883.66","25,611.72","51,961.21","60,586.38"
